county,percent_diff_rep,vote_2020
Adams,31.7,1
Allegheny,-27,0
Armstrong,35.8,1
Beaver,2.1,1
Bedford,56.3,1
Berks,2.4,1
Blair,36.9,1
Bradford,43.5,1
Bucks,0.4,0
Butler,29,1
Cambria,15.8,1
Cameron,37.8,1
Carbon,18.5,1
Centre,-1.1,0
Chester,-1.9,0
Clarion,40.9,1
Clearfield,35.9,1
Clinton,29.1,1
Columbia,23.2,1
Crawford,29.8,1
Cumberland,15,1
Dauphin,-5.3,0
Delaware,-14,0
Elk,27.3,1
Erie,-5.8,0
Fayette,8.9,1
Forest,36.5,1
Franklin,38.5,1
Fulton,58.5,1
Greene,16.1,1
Huntingdon,43.8,1
Indiana,26,1
Jefferson,47.2,1
Juniata,50.8,1
Lackawanna,-19.2,0
Lancaster,19.2,1
Lawrence,14.5,1
Lebanon,27.4,1
Lehigh,-9.8,0
Luzerne,-0.1,1
Lycoming,34,1
McKean,40.9,1
Mercer,17.5,1
Mifflin,47.6,1
Monroe,-7.2,0
Montgomery,-15.9,0
Montour,21.7,1
Northampton,-5.5,0
Northumberland,27.4,1
Perry,47.1,1
Philadelphia,-61.5,0
Pike,17.6,1
Potter,55.2,1
Schuylkill,27.2,1
Snyder,46.2,1
Somerset,42.8,1
Sullivan,36.9,1
Susquehanna,38.9,1
Tioga,47.4,1
Venango,34.3,1
Warren,32.5,1
Washington,10.4,1
Wayne,33,1
Westmoreland,14.7,1
Wyoming,34.6,1
York,21.4,1
